query_index,query,oracle_count,planned_count,delta_sl,is_correct_path,tasks_successful,precision,recall,f1,jaccard,coverage,planning_latency_s,total_latency_s,http_status
42,I want some tv shows that similar to House of Cards,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,792.944,1200.269,200
43,When did the most popular TV show currently on the air start?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1300.127,1967.335,200
44,tell me a few more works directed by the director of Django Unchained,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,482.313,822.448,200
45,tell me the cast of a TV show on the air,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,515.078,748.437,200
46,I need a review for Breaking Bad,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,581.263,902.842,200
47,I'm watching the tv series The Last Of Us and I need some more recommendations,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,518.234,784.21,200
48,I'm watching a TV show called The Last Of Us and I need some more recommendations,2,2,0,True,False,1.0,1.0,1.0,1.0,1.0,896.44,1158.872,200
49,"tell me the guest star from season 3, episode 24 of Friends",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1028.525,1268.798,200
50,Who is the lead actor in the most popular TV show?,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,601.239,809.148,200
51,give me a keyword of the top-1 rated TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,512.539,770.457,200
52,give me a poster of 2 Broke Girls,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,890.472,1603.013,200
53,How many episodes does 2 Broke Girls have in total?,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,1701.757,1947.955,200
54,When was the company that produced The Big Bang Theory founded?,3,7,4,False,False,0.1429,0.3333,0.2,0.1111,0.3333,813.208,1094.322,200
55,When was the TV show The Big Bang Theory created?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,545.25,761.194,200
56,give me a keyword of the most popular TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,507.44,707.95,200
57,What did the third episode of the second season of Westworld talk about?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,616.19,1849.149,200
58,Tell me the air date of the second season of Game of Thrones,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,519.762,827.393,200
59, give me a poster of the third episode of Band of Brothers,2,6,4,False,False,0.1667,0.5,0.25,0.1429,0.5,467.656,705.957,200
60,What is the logo of the network that produced Game of Thrones?,3,7,4,False,False,0.1429,0.3333,0.2,0.1111,0.3333,989.96,1435.176,200
61,give me the homepage of the network that produced Game of Thrones,3,7,4,False,False,0.1429,0.3333,0.2,0.1111,0.3333,483.777,746.558,200
62,give me a keyword of the most popular TV show currently,2,5,3,False,False,0.2,0.5,0.2857,0.1667,0.5,518.564,835.133,200
63,Where is the headquarter of the company that produced currently the most popular TV show?,3,5,2,False,False,0.2,0.3333,0.25,0.1429,0.3333,1094.956,1971.626,200
64,What is the genre of The Mandalorian?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,816.758,1180.104,200
65,When is the birthday of the lead actor of today's most trending TV show?,3,6,3,False,False,0.1667,0.3333,0.2222,0.125,0.3333,1095.758,1721.753,200
66,What is the homepage of the network that produced today's most trending TV show?,3,6,3,False,False,0.1667,0.3333,0.2222,0.125,0.3333,865.339,1423.967,200
67,give me a review of today's most trending TV show,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,584.603,1201.79,200
68,I prefer a TV show that similar to today's most trending TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,536.709,808.09,200
69,I need a poster of today's most trending TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,558.226,1052.583,200
70,Who has worked with Jeremy Clarkson in his most popular TV show?,3,7,4,False,False,0.0,0.0,0.0,0.0,0.0,545.195,1075.132,200
71,What does the lead actor of the first episode of second season of Black Mirror look like?,3,6,3,False,False,0.1667,0.3333,0.2222,0.125,0.3333,1078.466,1561.442,200
72,When is the lead actor of The Mandalorian born?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,540.504,844.272,200
73,Who is the lead actor of today's most popular TV show?,2,4,2,False,False,0.25,0.5,0.3333,0.2,0.5,876.831,1388.182,200
74,give me a photo of the lead actor of the most popular TV show of this week,3,7,4,False,False,0.1429,0.3333,0.2,0.1111,0.3333,523.123,776.949,200
75,give me some reviews of Cate Blanchett's latest TV show,3,7,4,False,False,0.1429,0.3333,0.2,0.1111,0.3333,587.523,907.208,200
76,What is David Schwimmer's most popular TV show?,2,6,4,False,False,0.1667,0.5,0.25,0.1429,0.5,1118.213,1478.386,200
77,Who directed the third episode of the second season of Black Mirror?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,588.996,1039.515,200
78,give me some movies that Christopher Nolan known for,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,531.098,840.542,200
79,"Avatar versus Avatar: The Way of Water, which has a higher rating",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,534.272,1096.096,200
80,Show me some English movies rating no less than 7.0 and no earlier than 2021,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,524.873,804.069,200
81,What is the genre of the movie Lord of the Ring?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,677.57,1353.189,200
82,What is the birthday of the most popular person right now?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,533.692,815.444,200
83,give me a poster of the second season of Big Bang Theory,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,546.678,812.613,200
84,What is the name of the third episod of the second season of Mandalorian?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1444.631,1736.299,200
85,When is the bitrhday of the lead actor of the movie The Shawshank Redemptionn?,3,5,2,False,False,0.2,0.3333,0.25,0.1429,0.3333,1170.358,1677.762,200
86,When is the birthday of the director of the movie The Shawshank Redemption?,3,4,1,False,False,0.0,0.0,0.0,0.0,0.0,515.73,969.676,200
87,Where is the headquarter of the company that created the movie The Shawshank Redemption?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,1178.332,1638.274,200
88,Where is the headquarter of the company that created the collection Star Wars?,3,7,4,False,False,0.0,0.0,0.0,0.0,0.0,512.211,1003.466,200
89,"Who has an earlier release date, The Double Life of Veronique or Mulholland Drive?",2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,550.352,825.56,200
90,Is the director of Twin Peaks Season 1 and Mulholland Drive the same person?,4,7,3,False,False,0.0,0.0,0.0,0.0,0.0,1074.652,1274.246,200
91,Where was the director of Mulholland Drive born?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,586.699,1304.824,200
92,Is Mulholland Drive in the Top-10 rated list of the TMDB?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,613.474,1292.987,200
93,"Who directed more movies, Akira Kurosawa or Spielberg?",2,6,4,False,False,0.0,0.0,0.0,0.0,0.0,677.991,926.037,200
94,What TV series has the director of Mulholland Drive directed?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,926.423,1185.912,200
95,Tell me about actor Scarlett Johansson's birthday,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,479.106,825.829,200
96,How many seasons of Sword Art Online are there?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,757.545,982.665,200
97,Are Yui Aragaki and Gen Hoshino co-starring in We Married as Job?,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,576.165,898.376,200
98,"Who is older, by how many years, the director of film Barbie or the lead actor of television DEATH NOTE?",4,6,2,False,False,0.0,0.0,0.0,0.0,0.0,498.186,796.319,200
99,Tell me about Katherine LaNasa's latest movie appearance.,2,3,1,False,False,0.3333,0.5,0.4,0.25,0.5,538.484,846.69,200
100,Give me one cover image of the movie Oppenheimer.,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,486.794,1123.369,200
