query_index,query,oracle_count,planned_count,delta_sl,is_correct_path,tasks_successful,precision,recall,f1,jaccard,coverage,planning_latency_s,total_latency_s,http_status
34,Who has starred in the first movie of Star Wars collection?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1349.474,2341.041,200
35,give me a movie cover of a movie from the collection Harry Potter,3,6,3,False,False,0.0,0.0,0.0,0.0,0.0,930.973,1489.039,200
36,What are some keywords for a movie of the collection The Hunger Games?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1126.727,1959.3,200
37,When are the release dates for the movies of the collection The Hobbit?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1101.909,1910.559,200
38,List movies from The Fast and the Furious collection,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,925.267,1491.506,200
39,Give me a review of a movie from the collection The Fast and the Furious.,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1145.397,2039.269,200
40,When was the first movie of the collection Lord of the Rings released?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1015.604,1607.775,200
41,tell me the directors of the first season of House of Cards,2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,756.585,1292.481,200
42,I want some tv shows that similar to House of Cards,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1051.43,1821.227,200
43,When did the most popular TV show currently on the air start?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1917.818,3012.16,200
44,tell me a few more works directed by the director of Django Unchained,3,4,1,False,False,0.0,0.0,0.0,0.0,0.0,1596.751,2645.025,200
45,tell me the cast of a TV show on the air,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1057.354,1853.038,200
46,I need a review for Breaking Bad,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,983.409,1439.365,200
47,I'm watching the tv series The Last Of Us and I need some more recommendations,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1126.094,1986.083,200
48,I'm watching a TV show called The Last Of Us and I need some more recommendations,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1146.604,2046.801,200
49,"tell me the guest star from season 3, episode 24 of Friends",2,2,0,True,False,1.0,1.0,1.0,1.0,1.0,1184.436,2178.193,200
50,Who is the lead actor in the most popular TV show?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1018.206,1659.18,200
51,give me a keyword of the top-1 rated TV show,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1030.241,1692.214,200
52,give me a poster of 2 Broke Girls,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,1077.561,1860.84,200
53,How many episodes does 2 Broke Girls have in total?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1152.537,2057.393,200
54,When was the company that produced The Big Bang Theory founded?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,937.254,1454.042,200
55,When was the TV show The Big Bang Theory created?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,986.194,1582.613,200
56,give me a keyword of the most popular TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,941.879,1546.149,200
57,What did the third episode of the second season of Westworld talk about?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1826.8,2854.444,200
58,Tell me the air date of the second season of Game of Thrones,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,842.586,1456.96,200
59, give me a poster of the third episode of Band of Brothers,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1907.201,2943.755,200
60,What is the logo of the network that produced Game of Thrones?,3,4,1,False,False,0.0,0.0,0.0,0.0,0.0,946.88,1473.6,200
61,give me the homepage of the network that produced Game of Thrones,3,6,3,False,False,0.0,0.0,0.0,0.0,0.0,1042.737,1768.41,200
62,give me a keyword of the most popular TV show currently,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1263.338,2253.336,200
63,Where is the headquarter of the company that produced currently the most popular TV show?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1602.165,2543.159,200
64,What is the genre of The Mandalorian?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1012.444,1634.451,200
65,When is the birthday of the lead actor of today's most trending TV show?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,2602.083,3461.378,200
66,What is the homepage of the network that produced today's most trending TV show?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1324.426,2320.482,200
67,give me a review of today's most trending TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1090.157,1796.092,200
68,I prefer a TV show that similar to today's most trending TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1229.71,2193.972,200
69,I need a poster of today's most trending TV show,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1166.805,2087.418,200
70,Who has worked with Jeremy Clarkson in his most popular TV show?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,2113.895,3196.492,200
71,What does the lead actor of the first episode of second season of Black Mirror look like?,3,3,0,True,False,1.0,1.0,1.0,1.0,1.0,1989.889,3074.136,200
72,When is the lead actor of The Mandalorian born?,3,5,2,False,False,0.0,0.0,0.0,0.0,0.0,2668.48,3591.131,200
73,Who is the lead actor of today's most popular TV show?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1024.46,1697.7,200
74,give me a photo of the lead actor of the most popular TV show of this week,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1697.414,2757.337,200
75,give me some reviews of Cate Blanchett's latest TV show,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1467.456,2458.648,200
76,What is David Schwimmer's most popular TV show?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,2369.996,3333.501,200
77,Who directed the third episode of the second season of Black Mirror?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1412.097,2409.629,200
78,give me some movies that Christopher Nolan known for,1,1,0,True,True,1.0,1.0,1.0,1.0,1.0,951.764,1494.05,200
79,"Avatar versus Avatar: The Way of Water, which has a higher rating",2,6,4,False,False,0.0,0.0,0.0,0.0,0.0,1978.568,3002.918,200
80,Show me some English movies rating no less than 7.0 and no earlier than 2021,1,1,0,True,False,1.0,1.0,1.0,1.0,1.0,994.541,1589.666,200
81,What is the genre of the movie Lord of the Ring?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1052.083,1751.855,200
82,What is the birthday of the most popular person right now?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,885.922,1331.304,200
83,give me a poster of the second season of Big Bang Theory,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1208.899,2188.946,200
84,What is the name of the third episod of the second season of Mandalorian?,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1782.5,2785.461,200
85,When is the bitrhday of the lead actor of the movie The Shawshank Redemptionn?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,2008.113,3167.665,200
86,When is the birthday of the director of the movie The Shawshank Redemption?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1088.778,1843.597,200
87,Where is the headquarter of the company that created the movie The Shawshank Redemption?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1217.554,2252.877,200
88,Where is the headquarter of the company that created the collection Star Wars?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1144.133,1926.879,200
89,"Who has an earlier release date, The Double Life of Veronique or Mulholland Drive?",2,5,3,False,False,0.0,0.0,0.0,0.0,0.0,1596.814,2581.621,200
90,Is the director of Twin Peaks Season 1 and Mulholland Drive the same person?,4,4,0,True,True,1.0,1.0,1.0,1.0,1.0,1135.325,2097.734,200
91,Where was the director of Mulholland Drive born?,3,3,0,True,True,1.0,1.0,1.0,1.0,1.0,1173.652,2001.281,200
92,Is Mulholland Drive in the Top-10 rated list of the TMDB?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,979.131,1551.085,200
93,"Who directed more movies, Akira Kurosawa or Spielberg?",2,6,4,False,False,0.0,0.0,0.0,0.0,0.0,1562.685,2611.557,200
94,What TV series has the director of Mulholland Drive directed?,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,1455.929,2516.064,200
95,Tell me about actor Scarlett Johansson's birthday,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,855.969,1323.869,200
96,How many seasons of Sword Art Online are there?,2,4,2,False,False,0.0,0.0,0.0,0.0,0.0,1010.411,1588.623,200
97,Are Yui Aragaki and Gen Hoshino co-starring in We Married as Job?,2,2,0,True,False,1.0,1.0,1.0,1.0,1.0,1242.208,2151.405,200
98,"Who is older, by how many years, the director of film Barbie or the lead actor of television DEATH NOTE?",4,7,3,False,False,0.0,0.0,0.0,0.0,0.0,3084.809,3582.53,200
99,Tell me about Katherine LaNasa's latest movie appearance.,2,3,1,False,False,0.0,0.0,0.0,0.0,0.0,1084.387,1908.249,200
100,Give me one cover image of the movie Oppenheimer.,2,2,0,True,True,1.0,1.0,1.0,1.0,1.0,947.46,1484.344,200
